code ,total,region ,sub region ,country 
B05006_121E,Total,Oceania,Fiji,
B05006_122E,Total,Oceania,"Oceania, n.e.c.",
B05006_123E,Total,Americas,,
B05006_124E,Total,Americas,Latin America,
B05006_125E,Total,Americas,Latin America,Caribbean
B05006_126E,Total,Americas,Latin America,Bahamas
B05006_127E,Total,Americas,Latin America,Barbados
B05006_128E,Total,Americas,Latin America,Cuba
B05006_129E,Total,Americas,Latin America,Dominica
B05006_130E,Total,Americas,Latin America,Dominican Republic
B05006_131E,Total,Americas,Latin America,Grenada
B05006_132E,Total,Americas,Latin America,Haiti
B05006_133E,Total,Americas,Latin America,Jamaica
B05006_134E,Total,Americas,Latin America,St Vincent and the Grenadines
B05006_135E,Total,Americas,Latin America,Trinidad and Tobago
B05006_136E,Total,Americas,Latin America,West Indies
B05006_137E,Total,Americas,Latin America,Other Caribbean
B05006_138E,Total,Americas,Latin America,Central America
B05006_139E,Total,Americas,Latin America,Mexico
B05006_140E,Total,Americas,Latin America,Belize
B05006_141E,Total,Americas,Latin America,Costa Rica
B05006_142E,Total,Americas,Latin America,El Salvador
B05006_143E,Total,Americas,Latin America,Guatemala
B05006_144E,Total,Americas,Latin America,Honduras
B05006_145E,Total,Americas,Latin America,Nicaragua
B05006_146E,Total,Americas,Latin America,Panama
B05006_147E,Total,Americas,Latin America,Other Central America
B05006_148E,Total,Americas,Latin America,South America
B05006_149E,Total,Americas,Latin America,Argentina
B05006_150E,Total,Americas,Latin America,Bolivia
B05006_151E,Total,Americas,Latin America,Brazil
B05006_152E,Total,Americas,Latin America,Chile
B05006_153E,Total,Americas,Latin America,Colombia
B05006_154E,Total,Americas,Latin America,Ecuador
B05006_155E,Total,Americas,Latin America,Guyana
B05006_156E,Total,Americas,Latin America,Peru
B05006_157E,Total,Americas,Latin America,Uruguay
B05006_158E,Total,Americas,Latin America,Venezuela
B05006_159E,Total,Americas,Latin America,Other South America
B05006_160E,Total,Americas,Northern America,
B05006_161E,Total,Americas,Northern America,Canada
B05006_162E,Total,Americas,Northern America,Other Northern America
B05006PR_001E,Total,,,
B05006PR_002E,Total,Europe,,
B05006PR_003E,Total,Europe,Northern Europe,
B05006PR_004E,Total,Europe,Western Europe,
B05006PR_005E,Total,Europe,Southern Europe,
B05006PR_006E,Total,Europe,Southern Europe,Spain
B05006PR_007E,Total,Europe,Southern Europe,Other Southern Europe
B05006PR_008E,Total,Europe,Eastern Europe,
B05006PR_009E,Total,Europe,"Europe, n.e.c.",
B05006PR_010E,Total,Asia,,
B05006PR_011E,Total,Asia,Eastern Asia,
B05006PR_012E,Total,Asia,Eastern Asia,China
B05006PR_013E,Total,Asia,Eastern Asia,China excluding Taiwan
